,times,angles,velocities,gains
0,2924687616.0,278.0437024729175,11.383025017837658,1.0
1,2925687616.0,290.487315143816,11.778060447684675,1.0
2,2926687616.0,295.3932099192066,3.7469928646706823,1.0
3,2927687616.0,311.82600899147224,30.681182754497396,1.0
4,2928687616.0,333.1483441965504,11.350929751425936,1.0
5,2929687616.0,343.731779181162,10.7478441697455,1.0
6,2930687616.0,350.7521118907025,0.06264045253106541,1.0
7,2931687616.0,0.938232502214305,24.855255452547595,1.0
8,2932687616.0,28.67313301490958,26.51233291888915,1.0
9,2933687616.0,50.99155708717535,11.267160224791786,1.0
10,2934687616.0,54.079793171159736,4.012816192790868,1.0
11,2935687616.0,76.2028131906909,37.555165366065545,1.0
12,2936687616.0,109.29178413795648,20.56686434921339,1.0
13,2937687616.0,121.09420723365974,16.17191191229729,1.0
14,2938687616.0,134.2549164621753,2.9484296303975537,1.0
15,2939687616.0,138.44182075905042,12.755168491057914,1.0
16,2940687616.0,157.16444507348365,21.778310716248036,1.0
17,2941687616.0,180.52979224052456,17.076514697710913,1.0
18,2942687616.0,186.897988971941,2.8423506803843828,1.0
19,2943687616.0,196.0096845285816,14.788050331692675,1.0
20,2944687616.0,212.7168280832691,13.238517048503365,1.0
21,2945687616.0,232.17857979225346,34.68011616139132,1.0
22,2946687616.0,269.98207100319087,32.7615851104381,1.0
23,2947687616.0,284.4914643137379,4.9128949219468385,1.0
24,2948687616.0,296.2149848215504,13.678476660670999,1.0
25,2949687616.0,323.23361641334714,36.907368302348715,1.0
26,2950687616.0,343.7460211985035,9.536254981612917,1.0
27,2951687616.0,350.91627510475337,3.5481069214569674,1.0
28,2952687616.0,358.5980353586597,12.483035026630525,1.0
29,2953687616.0,11.92835884498777,13.356496748562698,1.0
30,2954687616.0,21.704715046159663,8.595526235168144,1.0
31,2955687616.0,35.206422809831565,11.962694778094003,1.0
32,2956687616.0,52.07927559303471,32.37381760813836,1.0
33,2957687616.0,85.612588581316,30.658301753402952,1.0
34,2958687616.0,113.79343819069095,15.155456422228367,1.0
35,2959687616.0,123.77942207740966,13.594857381734252,1.0
36,2960687616.0,133.46325386451917,11.18855967000696,1.0
37,2961687616.0,159.17014839576905,32.621582598350486,1.0
38,2962687616.0,187.72335762428474,21.523422252436447,1.0
